,suggestions,ud,word
0,"['multi tratta', 'multistrati', 'multistrato', 'mutilata', 'multiparita', 'mulinata', 'multatatela', 'multigrada']",False,multitratta
1,"['Tallin', 'Tallini', 'Tallinn', 'Talli', 'Tallina', 'Talline', 'Tallino', 'Stallini']",False,Tallink
2,"['traghetta', 'targhetta', 'streghe', 'traghettai', 'traghettar', 'traghett', 'traghetto', 'spranghetta']",False,streghetta
3,"['Gabbi', 'Gabri', 'Gambi', 'Garbi', 'Gai', 'Gobi', 'Gabino', 'Gabino']",False,Gabi
4,"['perché', 'perch', 'parche', 'porche', 'operchie', 'perocche', 'petche', 'purché']",False,perchè
5,"['lot', 'Lot', 'loft', 'loti', 'loto', 'slot', 'alzò', 'lo']",False,l'OT
6,"['Lusitana', 'Luterana', 'Lauretana', 'Glutinosa', 'Liftasi', 'Platanista', 'Alutasi', 'Liftando']",False,Lufthansa
7,"['piet', 'pita', 'pite', 'pi', 'it', 'apiti', 'opita', 'opite']",False,pit
8,"['Regata', 'Fregata', 'Pregata', 'Regnata', 'Egata', 'Redatta', 'Arefatta', 'Refratta']",False,Regatta
9,"['Espandi', 'Espandei', 'Spandi', 'Espiantai', 'Splendi', 'Espandici', 'Espandila', 'Espandile']",False,Esplanadi
10,"['Caloppa', 'Caloppe', 'Loppa', 'Loppe', 'Loppi', 'Coppa', 'Coppe', 'Coppi']",False,Clopp
11,"['Spensi', 'Sensi', 'Spesi', 'Uspense', 'Dispensi', 'Fusesi', 'Ospensiva', 'Ospensive']",False,Uspenski
12,"['hopping', 'topping', 'schioppi', 'shapooing', 'sospinga', 'sospinge', 'sospingi', 'sospingo']",False,shopping
13,"['Provvidenziale', 'Previdenziale', 'Provienile', 'Provvidenzale', 'Provienicele', 'Provvidenziali', 'Previenile', 'Provienilo']",False,Providenciales
14,"['Cerchero', 'Cercherà', 'Cercherai', 'Cercherei', 'Scechero', 'Carichero', 'Cerche', 'Carcero']",False,Cercherò
15,"['Traghetta', 'Targhetta', 'Traghettai', 'Traghettar', 'Streghe', 'Traghett', 'Traghetto', 'Spranghetta']",False,Streghetta
16,"['Tours', 'Tur', 'turku', 'Stukas', 'Tugrik', 'Turkle', 'Urss', 'Urss']",False,Turks
17,"['coppiettando', 'doppiaggi', 'doppiaggio', 'coppiagli', 'coppiagliene', 'coppiglia', 'convogliando', 'coppiaglielo']",False,cloppViaggiando
